speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,brakeTorque
73.40025396,0.097949578,2,6.66181424,4.362636644,1,12,15320.6731,18.04238866,38.81829274,825.8488239,412.924412,0,70.91526422,0,62.40187009,1,95.81857593,1.64,1.74,1.920498631,3.550492517,0.355151528,2.193084771,0.00298599,0,2836.898824,0
73.47719399,0.102854193,2.1,6.702723272,4.357575551,1,12,15336.73263,18.04085721,38.8556847,827.5810833,413.7905416,0,70.85178342,0,62.15110213,1,95.81857593,1.64,1.74,2.025224604,3.567267213,0.358161045,2.302077883,0.00509328,0,2838.631083,0
73.5539643,0.107753673,2.2,6.743947398,4.352520943,1,12,15352.75672,18.03932914,38.89298729,829.3113303,414.6556652,0,70.78836818,0,61.90033417,1,95.81857593,1.64,1.74,2.130335831,3.584166912,0.361208243,2.411017395,0.007398737,0,2840.36133,0
73.63056554,0.112648038,2.3,6.785490485,4.347472809,1,12,15368.74553,18.03780444,38.93020088,831.0395677,415.5197838,0,70.72501846,0,61.64956621,1,95.81857593,1.64,1.74,2.235835443,3.60119318,0.364293703,2.519902929,0.009902904,0,2842.089568,0
73.70699835,0.117537312,2.4,6.82735646,4.342431136,1,12,15384.69918,18.03628309,38.96732582,832.7657979,416.382899,0,70.66173419,0,61.39879825,1,95.81857593,1.64,1.74,2.341726609,3.618347608,0.36741805,2.628734101,0.012606328,0,2843.815798,0
73.78326336,0.122421516,2.5,6.869549319,4.337395913,1,12,15400.61781,18.03476508,39.00436246,834.4900236,417.2450118,0,70.59851531,0,61.14803029,1,95.81857593,1.64,1.74,2.448012535,3.635631812,0.370581915,2.737510527,0.01550956,0,2845.540024,0
73.85936121,0.127300671,2.6,6.912073121,4.332367129,1,12,15416.50155,18.0332504,39.04131117,836.2122474,418.1061237,0,70.53536178,0,60.89726233,1,95.81857593,1.64,1.74,2.55469647,3.653047435,0.373785966,2.846231815,0.018613157,0,2847.262247,0
73.93529253,0.1321748,2.7,6.954931992,4.327344774,1,12,15432.35052,18.03173903,39.07817228,837.9324718,418.9662359,0,70.47227352,0,60.64649437,1,95.81857593,1.64,1.74,2.6617817,3.670596146,0.377030864,2.954897572,0.021917679,0,2848.982472,0
74.01105795,0.137043922,2.8,6.998130128,4.322328836,1,12,15448.16487,18.03023097,39.11494616,839.6506994,419.8253497,0,70.40925047,0,60.39572641,1,95.81857593,1.64,1.74,2.769271554,3.688279644,0.380317297,3.063507401,0.02542369,0,2850.700699,0
74.08665808,0.14190806,2.9,7.041671794,4.317319301,1,12,15463.94472,18.0287262,39.15163313,841.3669328,420.6834664,0,70.34629257,0,60.14495846,1,95.81857593,1.64,1.74,2.877169402,3.694563394,0.135282511,3.172060899,0.029131759,0,2852.416933,0
74.16209355,0.146767235,3,7.085561326,4.31231616,1,12,15479.6902,18.0272247,39.18823355,843.0811746,421.5405873,0,70.28339977,0,59.8941905,1,95.81857593,1.64,1.74,2.985478655,3.722343464,0.598686486,3.280557662,0.033042461,0,2854.131175,0
74.23736496,0.151621467,3.1,7.129803133,4.307319402,1,12,15495.40144,18.02572647,39.22474775,844.7934272,422.3967136,0,70.220572,0,59.64342254,1,95.81857593,1.64,1.74,3.093194774,3.737265751,0.321916688,3.388997279,0.037156372,0,2855.843427,0
74.31247294,0.156470777,3.2,7.229821053,4.302329014,1,12,15511.07856,18.0242315,39.26117609,846.5036933,423.2518467,0,70.15780922,0,58.93738709,1,95.81857593,1.64,1.74,3.202523252,3.773343749,0.779096211,3.497294698,0.041468796,0,2857.553693,0
74.38741809,0.161315185,3.3,7.307479928,4.297344987,1,12,15526.7217,18.02273977,39.29751889,848.2119754,424.1059877,0,70.09511135,0,58.42871531,1,95.81857593,1.64,1.74,3.312716965,3.808136575,0.75210338,3.605486129,0.045983787,0,2859.261975,0
74.462201,0.166154714,3.4,7.386485632,4.29236731,1,12,15542.33097,18.02125127,39.3337765,849.918276,424.959138,0,70.03247833,0,57.92004353,1,95.81857593,1.64,1.74,3.423791062,3.842893723,0.752089847,3.71357111,0.050702589,0,2860.968276,0
74.53682229,0.170989381,3.5,7.466873985,4.28739597,1,12,15557.9065,18.01976599,39.36994923,851.6225977,425.8112989,0,69.96991011,0,57.41137175,1,95.81857593,1.64,1.74,3.535761097,3.878042209,0.761322409,3.821549167,0.055626466,0,2862.672598,0
74.61128254,0.175819209,3.6,7.548682091,4.282430957,1,12,15573.44843,18.01828391,39.40603743,853.3249431,426.6624715,0,69.90740663,0,56.90269997,1,95.81857593,1.64,1.74,3.648643035,3.913735273,0.773892827,3.929419819,0.06075671,0,2864.374943,0
