speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
69.1871359088725,0.0567831120424023,1.1,5.71239442406956,3.49569950315367,1,14.3,17209.1899343421,16.5868724518442,29.8919020772186,733.763551663344,366.881775831672,0,76.4117652803107,0,64.6587817159668,1,80.4330180963244,1.64,1.74,0.994802917329948,3.24053571359332,0.291979064243781,1.20979558980565,-0.00714974944186714,0,3676.76355166334,
69.2525141149218,0.061986391456572,1.2,5.74547819819252,3.49022440386788,1,14.3,17225.451714089,16.577037521981,29.9024076632722,735.150942819777,367.575471409889,0,76.3531438962259,0,64.4080137570561,1,80.4330180963244,1.64,1.74,1.09619646500991,3.25508958738496,0.292907218350204,1.31925461665668,-0.00680218124872928,0,3678.15094281978,
69.3177283526641,0.0671847586870035,1.3,5.77880353998133,3.48476074053842,1,14.3,17241.6727093504,16.5672272580866,29.9128535308752,736.536159871158,368.268079935579,0,76.2945581797555,0,64.1572457981455,1,80.4330180963244,1.64,1.74,1.1979487150393,3.26972373667004,0.294801129198081,1.4286632997261,-0.00626115445883113,0,3679.53615987116,
69.3827792983473,0.0723782352846272,1.4,5.81237332899593,3.47930847373201,1,14.3,17257.8530883322,16.5574415584323,29.9232400392242,737.919207367281,368.959603683641,0,76.2360081635997,0,63.9064778392348,1,80.4330180963244,1.64,1.74,1.30006248000957,3.28445497944059,0.297036504650213,1.53802129049905,-0.00552616153940014,0,3680.91920736728,
69.4476676237906,0.0775668426543607,1.5,5.84619049004703,3.4738675642494,1,14.3,17273.9930181386,16.5476803219555,29.9335675448047,739.300089842178,369.650044921089,0,76.1774938802455,0,63.6557098803241,1,80.4330180963244,1.64,1.74,1.40254060563943,3.29928978048697,0.299405335984277,1.64732823725813,-0.00459669116526097,0,3682.30008984218,
69.5123939964244,0.0827506020564789,1.6,5.88025799409173,3.46843797312328,1,14.3,17290.0926647822,16.5379434482536,29.9438364014169,740.678811814209,370.339405907104,0,76.119015361967,0,63.4049419214135,1,80.4330180963244,1.64,1.74,1.50538597134677,3.31423116811265,0.30183855613938,1.75658378503985,-0.00347222817762871,0,3683.67881181421,
69.5769590793315,0.0879295346079677,1.7,5.91457885915037,3.46301966161622,1,14.3,17306.1521931943,16.5282308375782,29.9540469602021,742.055377786158,371.027688893079,0,76.0605726408268,0,63.1541739625028,1,80.4330180963244,1.64,1.74,1.60860149070938,3.32928103781098,0.30431341859027,1.8657875755903,-0.00215225354230906,0,3685.05537778616,
69.6413635312868,0.0931036612838624,1.8,5.94915615124544,3.45761259121869,1,14.3,17322.1717672344,16.5185423908291,29.9641995696682,743.429792245327,371.714896122664,0,76.0021657486767,0,62.9034060035921,1,80.4330180963244,1.64,1.74,1.7121901120662,3.3444409221328,0.306822672359153,1.97493924732009,-0.000636244307294958,0,3686.42979224533,
69.7056080067965,0.0982730029185687,1.9,5.98399298536293,3.452216723647,1,14.3,17338.1515497005,16.5088780095479,29.9742945757152,744.802059663622,372.401029831811,0,75.9437947171585,0,62.6526380446814,1,80.4330180963244,1.64,1.74,1.81615481904899,3.35971224664791,0.309364224031717,2.08403843525853,0.00107632644025101,0,3687.80205966362,
69.7696931561374,0.103437580207169,2,6.01909252643687,3.44683202084135,1,14.3,17354.0917023386,16.4992375959127,29.9843323216604,746.172184497651,373.086092248826,0,75.8854595777054,0,62.4018700857708,1,80.4330180963244,1.64,1.74,1.92049863115392,3.37509641584736,0.311937713632595,2.19308477100691,0.00298598961764001,0,3689.17218449765,
