speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
42.00983478,47.95673739,935.8,17.99672758,-5.179744106,1,12,8768.620149,20.98329454,25.8386301,270.5249819,135.2624909,0,0,25.1262245,7.566645763,1,42.82249315,1.74,1.64,323.4535859,14.99579844,1.066120437,-25.49192846,-3.739213731,0,3213.524982
41.84942761,47.96537167,935.9,18.02893015,-4.991350612,1,12,8735.138714,21.00236639,25.76336506,268.4630218,134.2315109,0,0,24.08802048,7.495560038,1,42.60175905,1.74,1.64,324.2326176,15.08723735,1.109005264,-25.41216098,-3.800110802,0,3211.463022
41.69427946,47.97403686,936,18.06684153,-4.769287583,1,12,8702.754982,21.02081296,25.69039699,266.4761686,133.2380843,0,0,22.85498625,7.424474313,1,42.3802738,1.74,1.64,325.0192761,15.18317781,1.159449793,-25.33161422,-3.859887047,0,3209.476169
41.5455029,47.98273155,936.1,18.11154597,-4.501652675,1,12,8671.701181,21.03850197,25.62026797,264.5778424,132.2889212,0,0,21.35865688,7.353388588,1,42.15802449,1.74,1.64,325.8137099,15.28453376,1.220742088,-25.25029622,-3.918521617,0,3207.577842
41.40459725,47.99145381,936.2,18.16449761,-4.16849779,1,12,8642.290254,21.05525516,25.55370682,262.7862023,131.3931011,0,0,19.48443159,7.282302863,1,41.93499788,1.74,1.64,326.6160714,15.39280621,1.299922854,-25.16821547,-3.975993378,0,3205.786202
41.27370585,48.00020097,936.3,18.22776224,-3.731401806,1,12,8614.969581,21.07081769,25.49175223,261.1273485,130.5636743,0,0,17.01186423,7.211217138,1,41.71118043,1.74,1.64,327.4265181,15.51598184,1.474640651,-25.08538093,-4.032280911,0,3204.127349
41.15620481,48.00896894,936.4,18.30456587,-3.09414175,1,12,8590.443849,21.08478815,25.43603396,259.6426716,129.8213358,0,0,13.38956215,7.140131413,1,41.48655826,1.74,1.64,328.2452115,15.71007447,2.318134683,-25.00180199,-4.087362505,0,3202.642672
41.05853919,48.01774197,936.5,18.40099034,-0.750300781,1,12,8570.058319,21.09640025,25.38964828,258.4118451,129.2059225,0,0,0,7.069045688,1,41.26111715,1.74,1.64,329.0723182,15.77167403,0.735286339,-24.91748856,-4.141216159,0,3201.411845
41.0348425,48.02651501,936.6,18.56645917,0,1,12,8565.112162,21.09921771,25.37838366,258.1136495,129.0568248,0,13.55747766,0,6.997959964,1,41.0348425,1.74,1.64,329.9172686,15.84086049,0.825847814,-24.83245104,-4.193819579,0,3201.11365
41.01114582,48.03528804,936.7,18.3404391,-0.750300781,1,12,8560.166005,21.10203516,25.36711513,257.8156261,128.907813,100,92.23675136,0,7.076020391,1,41.28327335,1.64,1.74,330.7537892,15.75310371,-1.047513449,-24.74666857,-4.245150387,0,3200.815626
41.03029881,48.04406614,936.8,18.13641083,0.606085079,1,12,8564.163767,21.09975794,25.3762233,258.056492,129.028246,75.00379515,92.22865985,0,7.162308333,1,41.55672183,1.64,1.74,331.5806267,15.60542593,-1.761745498,-24.66016561,-4.295211893,0,3201.056492
41.06571857,48.05284014,936.9,17.95146679,1.121360543,1,12,8571.556855,21.09554665,25.39306034,258.5022233,129.2511117,65.49276683,92.21368264,0,7.248596275,1,41.8289702,1.64,1.74,332.3980071,15.44733144,-1.886894111,-24.57296854,-4.344009107,0,3201.502223
41.11263122,48.06160658,937,17.78084029,1.486498269,1,12,8581.34883,21.0899689,25.41534717,259.0931762,129.5465881,58.73771938,92.19381863,0,7.334884217,1,42.10004366,1.64,1.74,333.2061484,15.29138429,-1.862871861,-24.48510302,-4.391547273,0,3202.093176
41.16860219,48.07036301,937.1,17.62198125,1.775550624,1,12,8593.031526,21.08331415,25.44191726,259.7991181,129.8995591,53.37561951,92.17007874,0,7.421172159,1,42.36996665,1.64,1.74,334.0052611,15.14080723,-1.800778073,-24.39659406,-4.43783186,0,3202.799118
41.23208122,48.07910754,937.2,17.47320126,2.016468555,1,12,8606.281365,21.07576671,25.47202509,260.6009191,130.3004596,48.89245768,92.14310115,0,7.507460101,1,42.63876291,1.64,1.74,334.7955486,14.99609101,-1.733043519,-24.307466,-4.482868539,0,3203.600919
41.3019692,48.08783861,937.3,17.33326321,2.223477266,1,12,8620.868927,21.06745728,25.50514018,261.4850998,130.7425499,45.02690322,92.1133344,0,7.593748043,1,42.90645551,1.64,1.74,335.5772073,14.85697951,-1.66849309,-24.21774255,-4.526663172,0,3204.4851
41.37743504,48.0965549,937.4,17.20120512,2.405006259,1,12,8636.620747,21.05848465,25.54086,262.4415299,131.2207649,41.62427061,92.08111482,0,7.680035985,1,43.17306687,1.64,1.74,336.3504269,14.72306012,-1.608941724,-24.1274468,-4.569221792,0,3205.44153
41.45782286,48.10525529,937.5,17.07624908,2.566544624,1,12,8653.39992,21.04892682,25.57886585,263.46226,131.73113,38.58395239,92.04670564,0,7.766323927,1,43.43861878,1.64,1.74,337.1153912,14.59392787,-1.554262638,-24.03660126,-4.610550597,0,3206.46226
41.54259889,48.11393882,937.6,16.95774854,2.71190529,1,12,8671.095032,21.03884725,25.61889757,264.5408558,132.2704279,35.83615015,92.01031944,0,7.852611869,1,43.70313243,1.64,1.74,337.8722775,14.46922232,-1.503898025,-23.94522783,-4.65065593,0,3207.540856
41.63131863,48.12260462,937.7,16.84515499,2.843864744,1,12,8689.613308,21.02829878,25.66073788,265.6719867,132.8359934,33.33010427,91.97213194,0,7.938899811,1,43.96662843,1.64,1.74,338.6212577,14.34862915,-1.457278278,-23.85334789,-4.689544269,0,3208.671987
41.72360531,48.13125196,937.8,16.73799577,2.96451876,1,12,8708.876104,21.01732622,25.70420215,266.8511548,133.4255774,31.02755076,91.93229103,0,8.025187753,1,44.22912686,1.64,1.74,339.3624982,14.23187362,-1.413916491,-23.76098224,-4.727222217,0,3209.851155
41.81913496,48.13988017,937.9,16.63585848,3.07549475,1,12,8728.815796,21.00596808,25.74913123,268.0745093,134.0372546,28.89881713,91.89092307,0,8.111475696,1,44.49064724,1.64,1.74,340.0961599,14.11871351,-1.37341342,-23.66815118,-4.763696492,0,3211.074509
41.91762573,48.14848867,938,16.53837966,3.178085682,1,12,8749.373558,20.99425787,25.79538638,269.3387132,134.6693566,26.92036099,91.84813731,0,8.197763638,1,44.75120858,1.64,1.74,340.8223988,14.00893331,-1.335442523,-23.57487448,-4.798973912,0,3212.338713
42.01883009,48.15707694,938.1,16.44523626,3.273338391,1,12,8770.497721,20.98222503,25.8428455,270.6408461,135.320423,25.07314786,91.80402917,0,8.28405158,1,45.01082941,1.64,1.74,341.5413662,13.94502594,-0.779244476,-23.4811714,-4.833061393,0,3213.640846
42.12252883,48.16564453,938.2,16.35613915,3.362113953,1,12,8792.14253,20.96989561,25.89140029,271.9783296,135.9891648,23.34154248,91.7586827,0,8.370339522,1,45.26952777,1.64,1.74,342.2532085,13.7793139,-2.025462122,-23.38706076,-4.865965933,0,3214.97833
42.22852648,48.17419102,938.3,16.270828,3.445130249,1,12,8814.267185,20.95729286,25.94095404,273.348871,136.6744355,21.71252768,91.71217249,0,8.456627464,1,45.52732125,1.64,1.74,342.9646346,13.60883998,-2.088807983,-23.29256087,-4.897694609,0,3216.348871
42.33664767,48.18271606,938.4,15.89639219,3.522992756,1,12,8836.835083,20.94443763,25.99141985,274.7504184,137.3752092,20.17513961,91.66456517,0,8.700202527,1,46.25028974,1.64,1.74,343.6574818,13.32691454,-3.463110119,-23.19765844,-4.9282526,0,3217.750418
42.45384057,48.19121933,938.5,15.50073268,3.828360097,1,12,8861.296499,20.93050381,26.04602788,276.2736077,138.1368038,14.4081346,91.61277452,0,8.971741276,1,47.04836727,1.64,1.74,344.3295922,13.00086203,-4.015412153,-23.10237154,-4.957667541,0,3219.273608
42.57971555,48.19969913,938.6,15.13472032,4.123361291,1,12,8887.570105,20.91553771,26.10457485,277.9143304,138.9571652,8.818016608,91.55692768,0,9.243280025,1,47.83858165,1.64,1.74,344.9821926,12.67510885,-4.022830903,-23.00672312,-4.985969531,0,3220.91433
42.71289834,48.20815386,938.7,14.79491798,4.375683129,1,12,8915.369055,20.89970274,26.16640058,279.6555957,139.8277979,4.00565143,91.49759072,0,9.514818774,1,48.62137278,1.64,1.74,345.6164043,12.36303442,-3.865334206,-22.91073445,-5.013187101,0,3222.655596
42.85198339,48.21658223,938.8,14.47824017,4.58389324,1,12,8944.399971,20.88316602,26.23083426,281.4798335,140.7399167,0,91.43535145,0,9.786357523,1,49.39714999,1.64,1.74,346.2332542,12.06726399,-3.67485251,-22.81442531,-5.039347337,0,3224.479833
42.99039099,48.22498324,938.9,14.17851137,4.576419669,1,12,8973.289483,20.86670984,26.29482025,283.301073,141.6505365,0,91.37313813,0,10.05789627,1,50.16629505,1.64,1.74,346.8336856,11.78760663,-3.485967185,-22.71781406,-5.064475982,0,3226.301073
43.12812846,48.23335721,939,13.89439545,4.568972098,1,12,9002.039122,20.85033334,26.35836389,285.1193251,142.5596626,0,91.31095085,0,10.32943502,1,50.92916471,1.64,1.74,347.4185667,11.52257629,-3.314309897,-22.62091783,-5.088597535,0,3228.119325
43.26520302,48.24170443,939.1,13.62469316,4.561550286,1,12,9030.650392,20.83403565,26.42147041,286.9346004,143.4673002,0,91.2487897,0,10.60097377,1,51.68609312,1.64,1.74,347.9886987,11.27097841,-3.15641218,-22.52375263,-5.111735342,0,3229.9346
43.40162174,48.2500252,939.2,13.36832506,4.554153993,1,12,9059.124771,20.81781594,26.48414497,288.7469096,144.3734548,0,91.18665477,0,10.87251252,1,52.43739381,1.64,1.74,348.5448222,11.03178445,-3.010336587,-22.4263334,-5.133911671,0,3231.74691
43.53739156,48.25831982,939.3,13.12431691,4.546782984,1,12,9087.463707,20.80167339,26.54639262,290.556263,145.2781315,0,91.12454615,0,11.14405127,1,53.18336152,1.64,1.74,349.0876233,10.80408181,-2.874750455,-22.32867414,-5.155147788,0,3233.556263
43.67251933,48.26658858,939.4,12.89178716,4.539437029,1,12,9115.668628,20.78560717,26.60821832,292.3626711,146.1813355,0,91.06246392,0,11.41559002,1,53.92427388,1.64,1.74,349.617739,10.58704994,-2.748603116,-22.23078799,-5.175464021,0,3235.362671
43.80701174,48.27483175,939.5,12.66993619,4.5321159,1,12,9143.740931,20.76961649,26.66962695,294.1661441,147.083072,0,91.00040818,0,11.68712876,1,54.66039278,1.64,1.74,350.1357615,10.37994634,-2.631007034,-22.13268727,-5.194879824,0,3237.166144
43.94087537,48.28304961,939.6,12.45803699,4.524819374,1,12,9171.681992,20.75370057,26.73062329,295.9666921,147.9833461,0,90.938379,0,11.95866751,1,55.39196572,1.64,1.74,350.6422423,10.18209653,-2.521188832,-22.03438356,-5.213413825,0,3238.966692
44.07411671,48.29124244,939.7,12.25542712,4.517547232,1,12,9199.493164,20.73785865,26.79121204,297.7643253,148.8821627,0,90.87637647,0,12.23020626,1,56.11922695,1.64,1.74,351.1376962,9.992886134,-2.418465113,-21.93588779,-5.231083887,0,3240.764325
44.20674213,48.2994105,939.8,12.06150169,4.510299259,1,12,9227.175773,20.72208995,26.85139783,299.5590537,149.7795268,0,90.81440068,0,12.50174501,1,56.84239854,1.64,1.74,351.6226042,9.769416625,-2.865022323,-21.83721024,-5.247907147,0,3242.559054
44.33875786,48.30755405,939.9,11.87570724,4.503075241,1,12,9254.731126,20.70639374,26.91118518,301.350887,150.6754435,0,90.7524517,0,12.77328376,1,57.5616913,1.64,1.74,352.0974162,9.6754433,-1.208423657,-21.7383606,-5.26390006,0,3244.350887
44.47017006,48.31567336,940,11.69753639,4.495874971,1,12,9282.160506,20.69076929,26.97057856,303.1398352,151.5699176,0,90.69052963,0,13.04482251,1,58.27730567,1.64,1.74,352.5563668,9.537645245,-1.777267208,-21.63934804,-5.279078442,0,3246.139835
44.60098479,48.32376867,940.1,11.81529119,4.488698244,1,12,9309.465175,20.67521588,27.02958235,304.9259079,152.462954,0,90.62863454,0,12.99090674,1,58.13549927,1.64,1.74,353.0197119,9.523604041,-0.181634887,-21.54024259,-5.293459533,0,3247.925908
44.73120797,48.33184024,940.2,11.81792945,4.481544857,1,12,9336.646372,20.6597328,27.08820086,306.7091148,153.3545574,0,90.56676651,0,13.06396049,1,58.32760825,1.64,1.74,353.4805916,9.503773823,-0.257275264,-21.44102618,-5.30703842,0,3249.709115
44.86084545,48.33988831,940.3,11.82042893,4.474414612,1,12,9363.705318,20.64431935,27.14643832,308.4894653,154.2447327,0,90.50492562,0,13.13701423,1,58.5194658,1.64,1.74,353.9390322,9.482095542,-0.282073051,-21.34170562,-5.319818552,0,3251.489465
44.98990299,48.34791313,940.4,11.82279228,4.467307313,1,12,9390.643214,20.62897486,27.2042989,310.266969,155.1334845,0,90.44311196,0,13.21006798,1,58.71107551,1.64,1.74,354.3950598,9.459882234,-0.289872358,-21.24228764,-5.331803391,0,3253.266969
45.11838624,48.35591493,940.5,11.82502211,4.460222768,1,12,9417.461238,20.61369866,27.26178667,312.0416352,156.0208176,0,90.38132559,0,13.28312172,1,58.90244092,1.64,1.74,354.8486999,9.437570972,-0.291988209,-21.14277884,-5.342996412,0,3255.041635
45.24630075,48.36389393,940.6,11.82712095,4.453160788,1,12,9444.160552,20.59849007,27.31890568,313.8134731,156.9067366,0,90.31956661,0,13.35617547,1,59.09356554,1.64,1.74,355.2999778,9.415306841,-0.292203511,-21.04318575,-5.353401102,0,3256.813473
45.373652,48.37185039,940.7,11.8290913,4.446121186,1,12,9470.742298,20.58334845,27.37565988,315.582492,157.791246,0,90.25783508,0,13.42922921,1,59.28445281,1.64,1.74,355.7489181,9.3931376,-0.291783015,-20.94351479,-5.363020959,0,3258.582492
45.50044538,48.37978451,940.8,11.83093556,4.439103778,1,12,9497.2076,20.56827316,27.43205315,317.3487011,158.6743505,0,90.19613109,0,13.50228296,1,59.47510616,1.64,1.74,356.1955453,9.371078572,-0.291149619,-20.84377228,-5.37185949,0,3260.348701
45.62668617,48.38769652,940.9,11.83265613,4.432108385,1,12,9523.557563,20.55326357,27.48808933,319.1121093,159.5560546,0,90.1344547,0,13.5753367,1,59.66552896,1.64,1.74,356.6398833,9.349134269,-0.290444776,-20.74396446,-5.379920211,0,3262.112109
45.7523796,48.39558664,941,11.8342553,4.425134828,1,12,9549.793275,20.53831906,27.54377218,320.8727256,160.4363628,0,90.072806,0,13.64839045,1,59.85572454,1.64,1.74,357.0819559,9.327305602,-0.289715852,-20.64409746,-5.387206647,0,3263.872726
45.8775308,48.40345508,941.1,11.83573536,4.418182932,1,12,9575.915808,20.52343903,27.59910542,322.6305589,161.3152795,0,90.01118506,0,13.72144419,1,60.04569618,1.64,1.74,357.5217861,9.305592288,-0.288978755,-20.54417735,-5.39372233,0,3265.630559
46.00214482,48.41130206,941.2,11.8370985,4.411252525,1,12,9601.926217,20.50862286,27.65409267,324.3856181,162.1928091,0,89.94959195,0,13.79449793,1,60.23544715,1.64,1.74,357.959397,9.283993648,-0.288238876,-20.44421008,-5.399470797,0,3267.385618
46.12622662,48.41912778,941.3,11.83834691,4.404343436,1,12,9627.825538,20.49386996,27.70873754,326.1379119,163.068956,0,89.88802675,0,13.86755168,1,60.42498065,1.64,1.74,358.394811,9.262508875,-0.287498084,-20.34420154,-5.404455594,0,3269.137912
46.24978111,48.42693245,941.4,11.83948268,4.397455498,1,12,9653.614794,20.47917977,27.76304355,327.887449,163.9437245,0,89.82648953,0,13.94060542,1,60.61429987,1.64,1.74,358.8280503,9.241137125,-0.286757075,-20.2441575,-5.408680269,0,3270.887449
46.3728131,48.43471627,941.5,11.84050791,4.390588546,1,12,9679.29499,20.46455169,27.81701417,329.6342379,164.817119,0,89.76498035,0,14.01365917,1,60.80340793,1.64,1.74,359.2591367,9.216114823,-0.336637944,-20.14408368,-5.412148377,0,3272.634238
46.49532735,48.44247944,941.6,11.8414246,4.383742418,1,12,9704.867118,20.44998518,27.87065284,331.3782872,165.6891436,0,89.7034993,0,14.08671291,1,60.99230793,1.64,1.74,359.6880918,9.196230215,-0.268229534,-20.0439857,-5.414863475,0,3274.378287
46.61732852,48.45022215,941.7,11.84223475,4.376916954,1,12,9730.332154,20.43547967,27.9239629,333.1196055,166.5598027,0,89.64204644,0,14.15976666,1,61.18100295,1.64,1.74,360.1144124,9.186239771,-0.135120178,-19.94386909,-5.416829124,0,3276.119605
46.73882122,48.4579446,941.8,11.86980872,4.370111995,1,12,9755.691057,20.42103461,27.97694769,334.8582009,167.4291005,0,89.58062185,0,14.20060306,1,61.28639362,1.64,1.74,360.538995,9.185825029,-0.005624081,-19.84374532,-5.418049731,0,3277.858201
46.85980998,48.46564698,941.9,11.9277212,4.363327386,1,12,9780.944775,20.40664947,28.02961046,336.594082,168.297041,0,89.51922559,0,14.20491258,1,61.29751199,1.64,1.74,360.9635043,9.200470154,0.199111782,-19.74362655,-5.418528303,0,3279.594082
46.98029928,48.47332947,942,11.98550269,4.356562975,1,12,9806.094241,20.39232371,28.08195442,338.327257,169.1636285,0,89.45785773,0,14.20922211,1,61.30862968,1.64,1.74,361.3879396,9.220056449,0.266980126,-19.64351816,-5.41826511,0,3281.327257
47.10029351,48.48099226,942.1,12.04315358,4.349818608,1,12,9831.140372,20.37805682,28.13398275,340.0577341,170.028867,0,89.39651834,0,14.21353164,1,61.31974666,1.64,1.74,361.8123005,9.24121153,0.289105652,-19.54342549,-5.41726046,0,3283.057734
47.21979701,48.48863552,942.2,12.1006743,4.343094139,1,12,9856.084074,20.36384827,28.18569855,341.7855213,170.8927607,0,89.33520748,0,14.21784117,1,61.33086295,1.64,1.74,362.2365864,9.262811774,0.29594322,-19.4433539,-5.415514697,0,3284.785521
47.33881406,48.49625944,942.3,12.15806525,4.336389419,1,12,9880.926239,20.34969756,28.2371049,343.5106269,171.7553134,0,89.27392523,0,14.2221507,1,61.34197855,1.64,1.74,362.6607968,9.28448314,0.297670995,-19.34330873,-5.413028208,0,3286.510627
47.45734886,48.50386419,942.4,12.21532682,4.329704304,1,12,9905.667746,20.33560419,28.28820482,345.2330588,172.6165294,0,89.21267166,0,14.22646022,1,61.35309345,1.64,1.74,363.0849311,9.306101438,0.297690505,-19.24329532,-5.409801415,0,3288.233059
47.57540556,48.51144995,942.5,12.27245942,4.323038651,1,12,9930.309461,20.32156766,28.3390013,346.9528249,173.4764125,0,89.15144682,0,14.23076975,1,61.36420766,1.64,1.74,363.5089887,9.327625753,0.297138513,-19.14331899,-5.405834779,0,3289.952825
47.69298826,48.51901689,942.6,12.32946344,4.31639232,1,12,9954.852238,20.30758749,28.38949726,348.6699332,174.3349666,0,89.09025078,0,14.23507928,1,61.37532118,1.64,1.74,363.9329691,9.349042925,0.296394909,-19.04338508,-5.401128799,0,3291.669933
47.81010098,48.52656517,942.7,12.38633928,4.30976517,1,12,9979.296918,20.2936632,28.4396956,350.3843915,175.1921957,0,89.02908362,0,14.23938881,1,61.386434,1.64,1.74,364.3568718,9.370349035,0.29558664,-18.9434989,-5.395684013,0,3293.384391
47.9267477,48.53409496,942.8,12.44308732,4.303157066,1,12,10003.64433,20.28606676,28.49841088,352.0962076,176.0481038,0,88.97135649,0,14.24369833,1,61.39754614,1.64,1.74,364.7806961,9.391546087,0.29479577,-18.84366576,-5.389500996,0,3295.096208
48.04297594,48.54160642,942.9,12.49973065,4.2981802,1,12,10027.9044,20.28020587,28.55926951,353.8060313,176.9030156,0,88.91459729,0,14.24800786,1,61.40865758,1.64,1.74,365.2044416,9.412635943,0.294020553,-18.74389097,-5.382580361,0,3296.806031
48.15880087,48.54909971,943,12.55627569,4.293652973,1,12,10052.08028,20.27436531,28.61987723,355.5140419,177.7570209,0,88.85787328,0,14.25231739,1,61.41976833,1.64,1.74,365.6281077,9.433622475,0.293289629,-18.64417982,-5.37492276,0,3298.514042
48.27422562,48.55657498,943.1,12.61272264,4.289134176,1,12,10076.17263,20.26854493,28.6802361,357.2202429,178.6101214,0,88.80118445,0,14.25662692,1,61.43087839,1.64,1.74,366.0516938,9.454508109,0.292583236,-18.54453759,-5.366528881,0,3300.220243
48.38925331,48.56403238,943.2,12.66907174,4.284623764,1,12,10100.18211,20.26274457,28.74034815,358.9246378,179.4623189,0,88.74453082,0,14.26093644,1,61.44198777,1.64,1.74,366.4751993,9.475293997,0.291883815,-18.44496958,-5.357399451,0,3301.924638
